# {"t_start": 1596457697.7324684, "env_id": "Ant-v2"} 
r,l,t
-90.215011,30,112.896122
-49.308311,14,112.922053
-53.594632,36,112.988876
-62.410988,25,113.037742
-72.970225,36,113.108556
-101.374811,48,113.198958
-115.530176,52,113.303542
-3017.014655,1000,115.327303
-116.065404,41,115.403351
-120.905956,31,115.457693
-290.179996,86,115.626594
-118.088878,42,115.704388
-70.142862,20,115.741287
-455.600962,116,115.958254
-74.725656,22,115.999034
-172.993753,52,116.105101
-144.018811,43,116.185849
-343.952326,102,116.384186
-108.93436,27,116.433826
-155.658599,50,116.525503
-150.218928,57,116.638044
-134.762426,39,116.837671
-65.16817,26,116.889983
-111.998046,31,116.950843
-98.484221,26,117.002681
-154.231253,44,117.107402
-2853.746874,1000,119.041894
-204.499247,59,119.152866
-54.046461,18,119.186045
-27.737387,15,119.213505
-50.695158,29,119.267324
-66.034481,21,119.310063
-225.937258,83,119.466502
-39.145289,22,119.506902
-313.778521,117,119.723879
-145.90154,52,119.822944
-230.175622,70,119.954858
-503.49934,174,120.277069
-725.495897,195,120.640632
-141.56756,58,120.745351
-34.579585,14,120.900902
-145.032559,54,121.000667
-47.201664,16,121.030555
-32.811494,9,121.04854
-2775.064228,1000,122.949998
-145.086846,51,123.045741
-107.390921,31,123.105583
-145.333291,40,123.179381
-43.103209,21,123.218065
-180.374265,79,123.37083
-67.745806,18,123.404233
-79.29391,25,123.450565
-77.710523,30,123.506698
-128.581358,65,123.630336
-174.297759,67,123.753885
-160.982541,45,123.843645
-61.414105,19,123.879584
-109.675492,45,123.961364
-57.823258,18,123.995272
-74.625855,27,124.046104
-785.743275,261,124.534869
-71.872277,21,124.579717
-32.71097,17,124.614657
-40.228944,18,124.651563
-119.690228,41,124.736332
-148.235765,43,124.945737
-211.661406,63,125.075391
-240.146339,75,125.246557
-51.618306,15,125.274961
-49.110441,20,125.314849
-227.028923,60,125.427088
-153.117354,54,125.526236
-180.397271,46,125.616992
-75.549179,23,125.659877
-54.0001,24,125.70373
-233.624052,85,125.864299
-243.527542,83,126.017921
-50.152589,18,126.052798
-66.248596,28,126.111672
-66.56648,22,126.152561
-228.372384,72,126.285206
-74.700693,20,126.326136
-86.232556,26,126.374974
-33.895766,23,126.416893
-48.922291,23,126.459778
-141.077148,53,126.560476
-60.504434,26,126.612368
-135.012221,50,126.704125
-57.993734,32,126.763884
-529.467308,192,127.128456
-157.479723,46,127.212665
-33.26342,12,127.23505
-125.236229,40,127.311153
-65.308973,35,127.378587
-2847.835764,1000,129.668157
-41.076358,11,129.69708
-113.935272,41,129.80633
-235.149737,89,129.991825
-36.147986,15,130.02275
-44.939,12,130.048688
-129.116905,55,130.177305
-146.838458,38,130.301011
-89.43079,54,130.467529
-76.243783,25,130.537342
-229.196339,75,130.7255
-209.661266,64,130.89202
-74.239355,36,130.994347
-139.379282,46,131.116023
-35.517717,12,131.14295
-113.760469,45,131.249665
-280.875077,119,131.59022
-86.722358,23,131.65804
-188.466776,83,131.888922
-52.96152,26,131.978683
-169.213316,51,132.147232
-133.417541,37,132.254944
-476.740674,177,132.776094
-55.9478,29,132.852856
-90.345516,43,132.941646
-44.801255,20,132.985527
-268.755247,86,133.169227
-15.446918,13,133.204108
-75.598737,36,133.296758
-139.534463,49,133.431003
-114.643573,37,133.535408
-25.253044,13,133.567324
-63.105181,24,133.622205
