# {"t_start": 1596454802.745585, "env_id": "Walker2d-v2"} 
r,l,t
11.410158,36,8.384717
7.226715,27,8.431581
-11.366376,15,8.447203
-0.686128,10,8.462824
2.122218,16,8.478446
-1.637266,10,8.494067
0.417661,11,8.509689
-2.505787,9,8.52531
-2.223079,9,8.540931
2.427569,17,8.572173
-4.708437,11,8.588638
-3.975466,12,8.605593
1.822854,12,8.623545
-5.12243,16,8.646484
-4.276374,10,8.661443
1.035983,22,8.693358
-6.828346,9,8.707321
-1.577174,12,8.724276
-4.425228,11,8.740233
-4.592774,11,8.75619
-3.11572,14,8.777135
-0.161337,11,8.793092
1.993342,13,8.811044
3.238273,25,8.847945
-1.088826,14,8.867891
-4.223265,9,8.880857
1.205243,20,8.90978
1.774338,12,8.918866
0.203437,10,8.934488
-4.385581,14,8.950109
-3.80779,11,8.965731
0.989861,10,8.981352
-4.337404,14,8.996974
-2.203689,7,9.012595
2.442091,15,9.028216
0.604404,22,9.059458
-3.63874,10,9.07508
-2.763575,9,9.090701
-0.154933,11,9.106323
-4.741282,14,9.121944
-2.737949,9,9.137565
-3.642021,8,9.153187
2.302272,16,9.168808
-2.016867,10,9.184429
-0.150516,10,9.200051
4.144296,20,9.231292
0.749464,12,9.246914
5.366136,18,9.278157
-2.477975,10,9.293779
-3.569331,9,9.3094
-4.828204,9,9.3094
-2.429512,10,9.325021
-0.965527,17,9.356264
11.010592,34,9.403127
-3.580048,8,9.418749
-5.590477,11,9.434371
-0.691208,10,9.434371
5.727044,19,9.465613
-5.214279,10,9.481236
7.489311,20,9.512477
-0.007391,14,9.528099
-1.65684,9,9.543721
-2.05475,14,9.559342
-2.312642,10,9.586318
8.518893,17,9.611251
-1.073421,26,9.648152
-5.86788,9,9.661118
5.481049,25,9.699017
-2.679856,12,9.821688
-2.978319,11,9.837646
2.540797,12,9.855598
-1.818449,9,9.868563
-0.845502,17,9.878633
1.618414,13,9.909876
-4.417242,10,9.925498
-2.815913,9,9.925498
-4.711302,11,9.94112
8.027808,21,9.972361
-2.45222,13,10.003604
-0.798511,11,10.019226
-8.922607,11,10.024909
3.490044,17,10.056153
1.964767,18,10.087395
-1.175443,13,10.103017
20.085793,43,10.165502
-2.940208,12,10.181124
-2.06468,9,10.196745
-4.408095,9,10.196745
1.068667,14,10.227987
-1.201125,9,10.243609
-6.02215,16,10.259231
-4.482645,11,10.274852
0.182032,10,10.290474
1.397975,16,10.306095
-4.096767,10,10.321716
1.640626,13,10.352958
-2.365191,12,10.36858
17.361386,27,10.399822
-0.180765,20,10.431065
1.266335,12,10.446687
-3.408757,9,10.462309
3.574461,12,10.47793
3.488143,15,10.493551
-1.591908,10,10.509172
-0.321595,16,10.540414
1.140749,15,10.556036
0.52819,12,10.583995
-0.11309,9,10.59696
8.809021,26,10.634859
1.647055,21,10.664779
2.91653,20,10.695696
3.786838,20,10.724619
2.1429,15,10.74656
9.563312,20,10.775483
9.040036,20,10.804406
3.342191,13,10.823355
-3.510163,10,10.838315
10.386093,24,10.872224
7.843866,25,10.908128
1.963842,20,10.929172
8.800065,28,10.976036
-0.849498,12,10.991657
-0.083958,18,11.007279
-5.79004,9,11.022901
3.528962,13,11.038522
-0.385246,9,11.054143
-0.710162,21,11.085385
10.926112,38,11.14787
6.183832,20,11.163492
5.982567,17,11.194734
1.093357,10,11.210356
-3.239075,11,11.225977
-0.89994,13,11.241599
17.920619,31,11.288463
1.340161,15,11.304084
2.264281,16,11.335327
1.908939,16,11.350949
6.719493,26,11.397812
-2.669052,8,11.397812
6.936457,17,11.429055
4.236251,16,11.444677
16.504717,36,11.507162
20.984913,28,11.538404
6.037897,21,11.577102
-0.355679,15,11.599043
-3.018381,9,11.612008
11.038008,33,11.658883
9.667906,19,11.68681
-0.965613,9,11.700771
0.018149,10,11.715731
-4.616522,7,11.725704
14.388709,29,11.767593
4.718952,25,11.804494
5.180042,18,11.833416
9.751635,22,11.868323
3.867559,15,11.893256
-0.252372,10,11.896349
-1.445177,9,11.911972
-2.263671,8,11.927593
-2.038356,10,11.943214
-3.222972,13,11.958836
5.981715,18,11.990077
-4.127197,15,12.005699
-0.943022,13,12.021321
28.540773,41,12.083805
-4.32365,12,12.099427
-3.287619,12,12.115049
-2.757524,7,12.130671
6.17234,28,12.177534
1.488504,12,12.193156
2.450544,11,12.208777
0.517651,10,12.224398
12.573906,20,12.24002
23.968627,40,12.302505
-2.149586,8,12.318126
3.759713,14,12.333747
-1.428943,8,12.349369
-1.014016,12,12.36499
12.304891,25,12.396233
5.375207,15,12.411854
-1.932252,22,12.443096
-1.06249,10,12.458719
-1.194087,9,12.47434
1.83774,11,12.489962
2.931158,12,12.505583
-1.247305,16,12.536824
6.213659,19,12.568068
0.872431,15,12.589874
-0.898031,9,12.602839
-6.821301,10,12.617799
-3.405038,12,12.635751
-1.440444,9,12.648716
2.867634,14,12.669661
10.701323,22,12.702573
-3.002909,14,12.723517
-8.248436,20,12.752439
23.179117,48,12.925753
8.33818,22,12.956994
19.092104,29,12.988239
2.673643,14,13.019479
0.122422,10,13.035102
26.820851,38,13.081965
-2.518502,9,13.097589
4.588618,16,13.128831
0.01261,10,13.144452
-1.450677,8,13.144452
0.150868,9,13.160072
19.77901,41,13.222559
6.124256,19,13.253802
8.801491,28,13.285043
12.199585,27,13.331906
9.457869,25,13.363151
-0.498879,11,13.378774
16.816411,32,13.425635
-1.501727,15,13.441258
20.35063,31,13.488122
2.593836,29,13.534984
6.035066,23,13.5686
4.634304,19,13.596524
26.991688,34,13.645397
8.367231,17,13.670327
-8.332617,14,13.692268
-3.219726,11,13.708226
4.583859,14,13.72814
-0.559853,9,13.741105
-4.090655,10,13.756099
2.558714,13,13.775049
12.782294,21,13.80497
11.168985,20,13.819006
-3.827528,12,13.850276
-1.434745,10,13.850276
-0.093254,14,13.881526
2.861447,15,13.897146
7.915405,19,13.928388
5.497804,27,13.959631
7.713455,24,13.990874
1.775295,12,14.022116
-3.008942,10,14.037738
7.433393,18,14.053368
2.724466,14,14.068949
0.20513,13,14.100191
-4.159244,14,14.115813
-2.878953,9,14.131474
14.752658,36,14.178297
5.958726,14,14.193954
0.415733,10,14.209574
1.542468,11,14.225195
-0.144692,10,14.240816
7.691967,19,14.272057
5.896162,17,14.287681
12.152029,29,14.334544
10.676968,22,14.365786
1.353354,11,14.381408
5.057236,14,14.39703
2.177441,13,14.412651
0.810671,18,14.443895
2.68189,15,14.475137
-1.04519,8,14.475137
-1.460842,13,14.490757
-0.447721,11,14.50638
-3.068248,13,14.537621
18.285917,34,14.588265
8.636451,17,14.613222
11.003979,29,14.65408
-1.597486,12,14.672065
1.233109,11,14.687991
-0.592205,12,14.705975
-1.760158,10,14.720939
-0.545625,10,14.734866
6.225553,16,14.757804
1.293872,19,14.785762
8.692934,19,14.813689
15.208076,28,14.853547
0.974915,19,14.868614
0.610799,10,14.884269
-0.628221,13,14.89989
-2.761015,8,14.915511
4.968938,18,14.946755
2.49555,12,14.962378
3.244789,19,14.993622
13.578009,37,15.040482
9.243543,25,15.071701
1.105602,13,15.08735
-2.794153,10,15.102935
-3.161137,12,15.118593
0.656745,11,15.134211
-4.682279,9,15.149833
17.532247,27,15.196696
6.009998,17,15.21232
6.108006,33,15.259181
1.226745,18,15.290424
3.741107,15,15.306048
-2.462342,8,15.321667
4.041226,13,15.337291
-5.956306,12,15.352912
27.997297,51,15.431016
34.077691,49,15.493506
5.938055,21,15.524744
-1.969706,8,15.540366
5.175437,16,15.555955
33.327355,43,15.631794
5.491693,15,15.653736
2.991309,32,15.70061
-6.10185,11,15.716567
11.074511,30,15.759454
-2.173169,11,15.77541
3.873423,15,15.797354
2.300269,13,15.919098
16.825116,30,15.950376
11.838915,23,15.981616
5.557937,20,16.012859
6.503709,20,16.044102
0.325033,17,16.075351
9.832496,22,16.106588
7.848344,27,16.145156
-4.322269,9,16.160779
14.606023,23,16.192023
2.611137,16,16.207643
1.96848,12,16.223268
11.469243,21,16.254508
3.718699,15,16.28575
8.993878,23,16.316991
8.689445,19,16.332614
7.638109,23,16.379478
34.339502,43,16.426341
12.117784,20,16.457584
24.066922,33,16.504449
15.256144,25,16.551312
11.215753,32,16.598179
2.602966,14,16.6138
0.411627,9,16.629421
0.251659,12,16.645041
32.755219,39,16.691905
6.079831,22,16.723152
9.635495,27,16.77001
7.21788,20,16.801253
6.621813,19,16.832496
-1.567436,16,16.84812
-0.685023,12,16.863742
-2.024134,7,16.879364
6.678456,18,16.894984
5.353116,20,16.926225
8.689905,19,16.957466
0.956235,10,16.97309
30.084547,46,17.035574
3.786058,34,17.082438
2.708787,18,17.113678
26.696311,51,17.176166
15.641209,34,17.23865
-3.460639,10,17.23865
3.677346,15,17.269895
0.224493,12,17.285517
1.622372,14,17.301139
2.603624,12,17.31676
12.002142,31,17.363625
-0.205772,10,17.379246
8.78082,25,17.410486
2.513794,21,17.441728
-2.278975,9,17.457351
12.186657,26,17.488595
5.752718,24,17.535456
5.116526,17,17.55108
26.180983,57,17.642958
6.612302,18,17.668886
0.657139,11,17.684843
1.413846,15,17.708781
-1.512138,10,17.723739
9.98178,35,17.774571
-4.888048,25,17.81051
24.001638,61,17.898275
8.912286,23,17.929251
22.553391,39,17.976148
12.839658,39,18.038633
0.850866,12,18.054255
14.644275,33,18.101118
3.346124,16,18.116742
3.059781,16,18.147982
7.865822,20,18.179225
0.067323,21,18.21047
-0.108532,11,18.226095
15.544172,23,18.257331
0.938262,15,18.272954
7.04889,20,18.304197
-0.192774,11,18.319821
29.210699,43,18.382303
0.97414,17,18.397925
5.625128,15,18.429166
67.999027,89,18.554137
1.709313,16,18.582236
4.979268,15,18.604209
21.582466,35,18.654045
7.410384,24,18.688985
1.253166,18,18.715879
20.449887,30,18.758796
25.162608,34,18.80767
16.285715,29,18.849554
29.914393,43,19.005934
46.37231,52,19.084042
4.290868,18,19.115283
6.390706,20,19.146525
2.026229,16,19.167102
4.255377,17,19.182759
64.68514,77,19.292073
-1.32849,9,19.307695
34.955151,46,19.370213
39.269138,45,19.4327
5.876147,14,19.463944
30.75078,77,19.55767
16.84982,38,19.62659
40.882428,54,19.706376
3.368648,13,19.726323
1.051545,14,19.746271
27.407823,48,19.815087
9.681568,59,19.898862
-0.992123,10,19.913822
17.251533,42,19.962431
-0.009456,18,19.993705
23.451078,44,20.056191
7.200492,22,20.087432
5.209098,20,20.118642
-3.098901,13,20.134298
3.010098,18,20.149918
57.410359,68,20.243646
16.65068,36,20.306133
4.817294,15,20.321721
26.696538,39,20.384238
87.114834,93,20.509209
-2.091973,8,20.524832
69.522532,76,20.634979
37.691782,55,20.714732
29.097732,48,20.78355
11.572708,31,20.818545
-0.629699,13,20.834167
1.187762,12,20.849835
0.138477,13,20.881032
-5.152562,11,20.896653
3.823138,15,20.912308
5.145288,20,20.94355
4.976382,16,20.95917
12.084852,32,21.006036
26.738941,53,21.084141
6.29942,19,21.11535
13.710202,28,21.146594
1.516614,11,21.162248
16.846396,42,21.224734
41.129045,75,21.334084
32.130027,44,21.396535
1.10242,18,21.41219
7.453964,21,21.443433
-0.356786,13,21.459028
4.990015,16,21.490264
-0.090803,11,21.505919
2.37109,13,21.521544
0.912175,10,21.53716
27.43422,42,21.600637
62.02525,82,21.719352
44.536599,76,21.827065
115.678993,130,22.103395
7.996769,20,22.134637
63.50818,69,22.234603
15.919265,36,22.281468
39.731922,65,22.375196
20.156085,40,22.437681
22.457362,44,22.500167
17.578123,44,22.569086
43.467002,80,22.681751
24.802907,39,22.739633
14.797559,33,22.786471
50.850551,99,22.919236
50.241412,78,23.028619
17.9975,32,23.075483
53.132687,72,23.169211
28.05711,56,23.247319
89.15034,106,23.40353
10.356302,24,23.434773
61.455099,66,23.5285
111.464977,100,23.679553
-0.629001,11,23.696509
7.872456,22,23.728428
84.110764,113,23.87915
21.672941,33,23.926016
31.784909,46,23.988534
14.496304,26,24.035397
66.166299,80,24.144748
57.828285,96,24.269718
13.727463,32,24.316582
11.019831,30,24.363413
-1.090665,13,24.379035
9.490678,23,24.410309
8.926557,18,24.441554
41.310257,59,24.51966
28.050072,56,24.609722
16.067641,34,24.658624
128.677266,106,24.810218
17.07989,42,24.87006
13.860504,26,25.007192
31.534561,41,25.054055
26.598046,48,25.132163
54.712612,61,25.216277
41.183695,48,25.278765
6.293144,18,25.310006
4.910063,15,25.32563
23.00039,29,25.372492
147.962826,123,25.54433
3.310939,19,25.578943
47.973481,83,25.698623
10.108379,24,25.733529
124.90188,100,25.876148
78.595501,70,25.974312
141.176606,93,26.099284
83.19044,97,26.239876
55.88228,65,26.31798
85.682946,106,26.474196
-6.3701,16,26.489819
26.211759,34,26.5523
106.582594,180,26.800129
74.428527,90,26.9251
108.169593,96,27.065691
35.336331,54,27.143796
29.640697,48,27.206283
2.966589,13,27.221904
20.130623,32,27.268767
37.919063,50,27.346873
76.473024,69,27.440603
10.110282,20,27.471843
60.126503,85,27.59301
43.285986,51,27.665816
-0.920176,11,27.682772
6.941303,22,27.715682
65.026978,87,27.835129
56.243089,65,28.022586
15.585931,30,28.06945
30.054001,48,28.131938
273.74023,194,28.419483
51.174777,70,28.513213
15.866328,42,28.581082
86.222367,103,28.729686
307.246827,173,28.963171
39.607736,67,29.056898
35.542433,58,29.150594
42.447259,74,29.244328
29.039528,43,29.306839
3.857422,14,29.338048
140.22237,180,29.592708
74.269042,109,29.750252
16.255045,37,29.804141
119.989012,89,29.918904
11.664182,25,29.965801
208.511476,134,30.15326
65.075259,72,30.246986
90.104652,103,30.387567
31.840665,54,30.465685
114.309019,147,30.689128
110.33656,158,31.00365
150.35495,159,31.228218
51.950618,88,31.353223
120.647955,134,31.556266
312.8979,185,31.822644
15.301497,31,31.866494
30.536059,49,31.929504
19.16713,32,31.976401
56.484794,157,32.195101
251.585623,184,32.460665
54.183431,78,32.575423
118.774721,173,32.823761
193.939787,131,33.006005
64.453666,97,33.146633
2.764138,116,33.302844
17.011866,32,33.349708
71.20261,124,33.521545
222.172699,140,33.730807
75.632483,96,33.863686
287.260168,148,34.176078
38.905072,125,34.352841
104.38911,150,34.555886
110.067756,117,34.819381
106.05124,121,35.038108
41.054764,73,35.147465
307.402037,199,35.444277
266.115959,148,35.691212
76.589946,114,35.860792
249.358594,124,36.025089
340.567913,193,36.321896
255.288688,175,36.556216
33.298091,78,36.694974
166.658196,96,36.832607
69.108633,153,37.04345
8.841031,37,37.090316
50.230082,105,37.355845
74.95748,95,37.48882
44.753873,71,37.598169
272.106385,160,37.816868
161.186108,228,38.144917
45.488433,154,38.363584
82.056388,88,38.504208
331.898097,185,38.772546
113.573364,185,39.022949
69.570473,87,39.14791
82.176931,175,39.397853
219.532729,141,39.606019
62.560858,130,39.79252
241.594819,173,40.021416
39.936813,119,40.302602
-0.720621,11,40.318189
246.620165,132,40.496871
322.5916,214,40.81769
351.827034,224,41.13391
67.909205,140,41.321367
137.573926,156,41.540066
305.046821,187,41.819076
70.85488,141,42.006568
54.888942,84,42.131536
262.897553,171,42.365857
51.1975,91,42.490828
192.234129,106,42.655106
49.684619,65,42.748857
42.406603,58,42.831635
316.047022,210,43.118674
204.870809,147,43.431067
235.047224,123,43.61859
119.603767,185,43.885875
294.328391,156,44.106369
170.106444,201,44.387552
225.121506,132,44.581469
250.866772,129,44.767971
29.166801,63,44.859725
83.636428,152,45.075883
61.286019,217,45.372688
457.542648,258,45.755644
-17.024085,152,45.960541
205.432305,356,46.589672
121.538484,238,46.927204
-0.602329,80,47.036548
92.046232,207,47.333356
116.826648,189,47.60501
302.936324,185,47.863401
294.779112,240,48.207068
21.572832,90,48.332039
197.965223,120,48.488255
210.464945,271,48.881698
135.173235,133,49.069155
47.463255,118,49.350307
105.775373,225,49.67133
355.229374,368,50.181349
460.343757,325,50.661026
397.837903,340,51.152769
202.179601,146,51.355846
398.378117,230,51.691802
264.234477,162,51.910642
60.18317,123,52.098098
301.030798,176,52.457389
400.040948,239,52.808523
73.447145,97,52.944953
256.890652,156,53.163652
204.198251,105,53.304244
86.759607,331,53.791577
269.189394,150,54.00579
37.214265,104,54.146383
242.733334,160,54.380702
29.448927,150,54.595978
306.29382,176,54.84773
315.789079,174,55.08205
52.05508,182,55.456995
25.489606,38,55.503835
-6.003748,215,55.819091
52.997358,218,56.11593
25.215474,161,56.350218
346.434362,191,56.630138
95.779687,271,57.009199
80.526107,141,57.212278
89.312481,193,57.493461
141.31059,306,57.919121
332.858314,198,58.200316
230.811111,133,58.497147
358.612411,185,58.769274
305.782207,226,59.082145
83.715476,226,59.394572
264.197438,150,59.615625
181.23935,240,59.944605
148.404339,250,60.303905
245.399743,134,60.491351
316.865515,192,60.773274
50.380767,189,61.037641
282.87718,172,61.271958
304.011829,170,61.629493
90.122963,156,61.847386
276.288282,171,62.081674
211.217127,104,62.237919
